order_id,order_date,business_unit,category,supplier,quantity,unit_price,status,lead_time_days
PO-2025215,,Jute,OFFICE SUPPLIES,Meghna Traders Ltd  ,216,1302.52,Partially Delivered,31
PO-2025584,14/09/2025,Steel,RAW MATERIAL,Jamuna Enterprise.,390,775.78,Cancelled,27
PO-2025437,,Real Estate, Packaging,Karnaphuli Logistics.,163,"BDT 4,800.42",Pending,8
PO-2025086,06/05/2026,Cement,MACHINERY PARTS,Padma Industrial  ,-118,"৳3,128",Partially Delivered,
PO-2025321,,Textiles,Logistics,Karnaphuli Logistics ,346,4468.08,Cancelled,34
PO-2025336,15 Jan 2026,Textiles,  packaging ,Karnaphuli Logistics  ,117,4191.37,Partially Delivered,19
PO-2025076,17/07/2025,Real Estate,OFFICE SUPPLIES,Surma Materials Ltd,372,"BDT 1,725.36",Delivered,25
PO-2025235,,Textiles,PACKAGING,Jamuna Enterprise.,451,"৳4,613",Delivered,18
PO-2025485,04-22-2025,Cement,  office supplies ,Meghna Traders Ltd.,336,"BDT 3,231.51",Cancelled,22
PO-2025277,2025-08-12,Real Estate,  packaging ,Surma Materials Ltd.,427,"1,979.95",Pending,
PO-2025010,,Cement,PACKAGING,Meghna Traders Ltd,427,"1,503.29",Pending,14
PO-2025208,05-18-2026,Steel,Raw Material,Surma Materials Ltd  ,183,"3,232.84",Partially Delivered,23
PO-2025465,2026-05-06,Real Estate,  packaging ,Surma Materials Ltd  ,87,"2,843.27",Pending,42
PO-2025393,21 Dec 2025,Steel,Logistics,Surma Materials Ltd ,6,"BDT 4,933.80",Partially Delivered,7
PO-2025346,01 Sep 2025,Jute, Packaging,Padma Industrial.,44,"৳3,850",Partially Delivered,19
PO-2025565,2025-11-02,Jute, Office Supplies,Jamuna Enterprise ,436,"3,035.86",Partially Delivered,
PO-2025030,,Cement,PACKAGING,Jamuna Enterprise.,143,"BDT 4,627.80",Cancelled,34
PO-2025573,30/04/2026,Real Estate, Logistics,Delta Supply Co,466,"BDT 4,553.48",Delivered,8
PO-2025204,13/07/2025,Cement,Office Supplies,Surma Materials Ltd  ,394,779.76,Cancelled,22
PO-2025311,04-17-2025,Cement,Machinery Parts,Karnaphuli Logistics  ,67,"৳2,515",Partially Delivered,26
PO-2025511,05/12/2025,Real Estate,  machinery parts ,Surma Materials Ltd  ,54,203.87,Delivered,25
PO-2025140,29 Mar 2025,Jute,  machinery parts ,Surma Materials Ltd.,389,"৳4,310",Delivered,14
PO-2025473,2026-01-20,Cement,Machinery Parts,Karnaphuli Logistics ,296,814.50,Pending,7
PO-2025577,02 Jan 2025,Real Estate,  office supplies ,Karnaphuli Logistics,222,4677.05,Cancelled,28
PO-2025056,,Textiles, Logistics,Karnaphuli Logistics.,-8,"3,298.53",Pending,41
PO-2025588,08/04/2025,Steel,  packaging ,Padma Industrial  ,221,,Pending,34
PO-2025505,2026-01-16,Jute, Packaging,Surma Materials Ltd,309,"3,802.20",Delivered,5
PO-2025228,2025-02-20,Real Estate,Office Supplies,Delta Supply Co,299,"BDT 4,383.92",Cancelled,19
PO-2025209,30/09/2025,Jute, Logistics,Jamuna Enterprise.,-395,"2,331.61",Cancelled,21
PO-2025024,19 Feb 2025,Steel, Logistics,Padma Industrial ,374,4459.42,Partially Delivered,19
PO-2025478,24 Jun 2025,Cement,Logistics,Surma Materials Ltd,299,"4,109.52",Delivered,18
PO-2025368,28/02/2025,Textiles,Packaging,Jamuna Enterprise,41,"৳4,416",Pending,20
PO-2025361,30/12/2025,Jute,RAW MATERIAL,Jamuna Enterprise ,266,1969.93,Cancelled,17
PO-2025363,2025-06-29,Steel,Packaging,Jamuna Enterprise ,252,"BDT 49,548.20",Partially Delivered,30
PO-2025468,07/04/2026,Real Estate,  machinery parts ,Jamuna Enterprise ,450,"BDT 28,740.20",Cancelled,19
PO-2025070,,Jute,Packaging,Karnaphuli Logistics,334,"BDT 1,856.35",Partially Delivered,7
PO-2025352,07/12/2025,Textiles,Office Supplies,Padma Industrial  ,349,2171.53,Cancelled,24
PO-2025176,10-31-2025,Real Estate,  office supplies ,Delta Supply Co.,42,,Delivered,3
PO-2025369,12-19-2025,Cement, Office Supplies,Surma Materials Ltd  ,375,৳548,Pending,41
PO-2025060,2025-01-30,Jute, Packaging,Padma Industrial ,36,BDT 259.64,Pending,28
PO-2025599,,Real Estate,OFFICE SUPPLIES,Surma Materials Ltd  ,414,"4,852.18",Delivered,28
PO-2025101,06-30-2025,Textiles,RAW MATERIAL,Meghna Traders Ltd.,114,1687.14,Delivered,27
PO-2025203,06-02-2025,Steel,Machinery Parts,Surma Materials Ltd  ,99,"BDT 1,492.08",Pending,34
PO-2025588,08/04/2025,Steel,  packaging ,Padma Industrial  ,221,,Pending,34
PO-2025090,23/06/2026,Textiles,MACHINERY PARTS,Padma Industrial,427,"2,996.30",Pending,32
PO-2025539,08 Apr 2025,Cement, Machinery Parts,Meghna Traders Ltd  ,178,3219.86,Cancelled,24
PO-2025470,2026-05-12,Steel, Packaging,Delta Supply Co  ,446,"BDT 3,066.68",Pending,34
PO-2025567,12-20-2025,Textiles,  raw material ,Delta Supply Co,318,"৳4,149",Delivered,35
PO-2025029,,Cement, Packaging,Padma Industrial ,217,"৳4,641",Partially Delivered,7
PO-2025110,06-09-2025,Textiles, Machinery Parts,Karnaphuli Logistics.,172,4189.41,Delivered,30
PO-2025509,,Steel,  logistics ,Delta Supply Co ,394,"4,681.63",Partially Delivered,29
PO-2025212,2025-07-06,Textiles,LOGISTICS,Delta Supply Co.,497,"৳1,517",Cancelled,25
PO-2025544,2026-05-07,Steel,  logistics ,Karnaphuli Logistics,441,,Cancelled,9
PO-2025322,10-16-2025,Cement, Logistics,Delta Supply Co  ,466,"৳3,425",Partially Delivered,18
PO-2025289,2025-08-01,Cement,OFFICE SUPPLIES,Surma Materials Ltd.,425,4403.09,Delivered,20
PO-2025529,2025-04-19,Textiles,  office supplies ,Surma Materials Ltd,494,"৳4,737",Partially Delivered,44
PO-2025462,,Cement, Logistics,Delta Supply Co.,148,"4,516.40",Delivered,
PO-2025452,2025-06-04,Steel,Machinery Parts,Jamuna Enterprise ,70,"৳4,616",Cancelled,39
PO-2025155,2026-04-05,Steel,Machinery Parts,Padma Industrial,387,৳222,Delivered,13
PO-2025081,,Real Estate, Machinery Parts,Karnaphuli Logistics  ,433,৳615,Cancelled,6
PO-2025250,06-13-2025,Jute, Office Supplies,Delta Supply Co ,469,"4,928.82",Pending,20
PO-2025594,07/11/2025,Steel,MACHINERY PARTS,Karnaphuli Logistics ,138,"4,395.67",Cancelled,15
PO-2025238,,Textiles,MACHINERY PARTS,Surma Materials Ltd,210,"1,340.48",Partially Delivered,36
PO-2025405,12/12/2025,Cement,LOGISTICS,Surma Materials Ltd ,189,"৳3,960",Pending,32
PO-2025063,05-09-2026,Jute, Logistics,Delta Supply Co ,237,640.13,Cancelled,19
PO-2025271,04-03-2026,Real Estate, Office Supplies,Padma Industrial,265,2987.90,Pending,6
PO-2025072,03-31-2025,Jute, Machinery Parts,Delta Supply Co  ,209,"৳4,946",Delivered,37
PO-2025256,,Cement,Raw Material,Jamuna Enterprise ,404,"3,637.84",Delivered,30
PO-2025554,,Real Estate, Logistics,Delta Supply Co,27,"2,398.36",Pending,18
PO-2025335,2026-05-23,Steel,Raw Material,Delta Supply Co  ,329,"BDT 2,685.46",Delivered,42
PO-2025578,01-23-2025,Textiles, Raw Material,Padma Industrial  ,309,BDT 341.63,Partially Delivered,11
PO-2025399,14/04/2025,Textiles,MACHINERY PARTS,Padma Industrial.,34,"BDT 1,244.40",Delivered,41
PO-2025260,15 May 2026,Cement,Machinery Parts,Karnaphuli Logistics  ,218,,Cancelled,10
PO-2025135,06/09/2025,Cement, Logistics,Meghna Traders Ltd  ,152,3018.49,Delivered,30
PO-2025340,,Textiles,LOGISTICS,Meghna Traders Ltd.,264,"1,907.63",Partially Delivered,12
PO-2025110,06-09-2025,Textiles, Machinery Parts,Karnaphuli Logistics.,172,4189.41,Delivered,30
PO-2025211,12-27-2025,Steel,RAW MATERIAL,Meghna Traders Ltd.,436,"4,455.00",Partially Delivered,20
PO-2025541,23 Dec 2025,Jute,  logistics ,Delta Supply Co  ,121,"1,362.13",Cancelled,23
PO-2025299,2025-06-22,Textiles,  packaging ,Meghna Traders Ltd.,469,2709.00,Cancelled,17
PO-2025480,08/06/2025,Real Estate,Machinery Parts,Jamuna Enterprise  ,223,1673.95,Partially Delivered,36
PO-2025006,24 Aug 2025,Real Estate,  machinery parts ,Surma Materials Ltd,402,"1,968.02",Delivered,
PO-2025104,03-29-2025,Textiles,Office Supplies,Karnaphuli Logistics ,448,"BDT 4,284.68",Partially Delivered,35
PO-2025114,2026-04-09,Real Estate,OFFICE SUPPLIES,Surma Materials Ltd.,491,1100.13,Cancelled,41
PO-2025158,06/03/2025,Cement, Office Supplies,Karnaphuli Logistics ,380,922.64,Delivered,5
PO-2025181,2026-01-30,Cement,  office supplies ,Surma Materials Ltd.,437,168.65,Partially Delivered,6
PO-2025531,,Real Estate, Packaging,Delta Supply Co.,73,"৳2,633",Partially Delivered,31
PO-2025364,10 Aug 2025,Cement, Packaging,Karnaphuli Logistics,214,3717.04,Delivered,
PO-2025177,05-21-2026,Jute,Logistics,Surma Materials Ltd  ,166,"4,399.88",Delivered,8
PO-2025593,2025-07-20,Real Estate,  logistics ,Delta Supply Co.,373,"BDT 2,858.43",Delivered,
PO-2025199,02/06/2025,Textiles, Machinery Parts,Meghna Traders Ltd.,238,BDT 348.64,Delivered,10
PO-2025421,09 Apr 2026,Real Estate,  raw material ,Padma Industrial,148,54.08,Partially Delivered,9
PO-2025300,,Cement,Office Supplies,Surma Materials Ltd,99,"৳1,346",Partially Delivered,2
PO-2025408,22 Feb 2025,Jute,Packaging,Surma Materials Ltd.,412,3925.05,Cancelled,29
PO-2025396,08/06/2026,Cement,Packaging,Padma Industrial ,455,"BDT 2,981.28",Partially Delivered,6
PO-2025286,16 Sep 2025,Textiles, Machinery Parts,Jamuna Enterprise ,447,2200.03,Pending,41
PO-2025257,,Real Estate, Packaging,Jamuna Enterprise ,180,,Cancelled,25
PO-2025259,,Jute,  packaging ,Meghna Traders Ltd  ,123,৳261,Delivered,26
PO-2025055,,Jute,Packaging,Karnaphuli Logistics  ,-325,497.68,Cancelled,36
PO-2025042,07-18-2025,Cement,  raw material ,Delta Supply Co.,253,1671.10,Partially Delivered,17
PO-2025073,04-01-2026,Jute,  raw material ,Surma Materials Ltd,196,BDT 446.24,Delivered,12
PO-2025537,17/12/2025,Steel,  packaging ,Jamuna Enterprise ,126,2291.22,Cancelled,20
PO-2025066,20 Jun 2025,Cement, Logistics,Jamuna Enterprise.,123,"2,768.26",Delivered,35
PO-2025011,,Real Estate, Machinery Parts,Padma Industrial ,407,৳877,Cancelled,40
PO-2025163,2026-04-01,Steel,  machinery parts ,Karnaphuli Logistics ,33,BDT 55.28,Delivered,6
PO-2025443,2026-03-01,Real Estate,Office Supplies,Karnaphuli Logistics  ,308,"BDT 1,494.88",Cancelled,16
PO-2025210,2025-11-03,Real Estate, Machinery Parts,Meghna Traders Ltd ,381,"৳4,191",Cancelled,25
PO-2025332,2025-01-21,Real Estate, Office Supplies,Padma Industrial,408,"1,947.55",Cancelled,10
PO-2025083,,Cement,  logistics ,Delta Supply Co  ,245,4928.42,Cancelled,11
PO-2025278,,Textiles, Raw Material,Meghna Traders Ltd.,196,"1,040.91",Pending,19
PO-2025448,18 Jan 2025,Steel,Machinery Parts,Surma Materials Ltd ,263,৳242,Partially Delivered,6
PO-2025079,2026-01-09,Real Estate,LOGISTICS,Surma Materials Ltd,-224,"1,572.30",Partially Delivered,32
PO-2025023,2025-10-06,Cement,RAW MATERIAL,Padma Industrial,452,"BDT 4,683.42",Pending,13
PO-2025287,21 Jun 2026,Steel, Packaging,Jamuna Enterprise.,223,BDT 511.69,Pending,35
PO-2025301,24 Jul 2025,Cement,RAW MATERIAL,Karnaphuli Logistics,145,"4,832.70",Partially Delivered,27
PO-2025280,20/08/2025,Jute,Office Supplies,Meghna Traders Ltd,171,242.95,Delivered,14
PO-2025244,02-08-2025,Real Estate,MACHINERY PARTS,Jamuna Enterprise,205,"BDT 2,433.88",Partially Delivered,24
PO-2025290,,Cement,  packaging ,Karnaphuli Logistics  ,209,1323.99,Cancelled,22
PO-2025329,2026-01-02,Real Estate,  office supplies ,Surma Materials Ltd  ,166,"BDT 2,981.76",Pending,5
PO-2025137,,Steel,Raw Material,Surma Materials Ltd  ,86,4740.30,Pending,15
PO-2025188,06-05-2026,Textiles,Packaging,Padma Industrial,100,"BDT 4,343.15",Cancelled,6
PO-2025165,,Textiles,Office Supplies,Meghna Traders Ltd  ,107,540.83,Partially Delivered,9
PO-2025296,,Textiles,LOGISTICS,Karnaphuli Logistics  ,44,614.39,Partially Delivered,33
PO-2025009,,Real Estate,PACKAGING,Padma Industrial ,152,৳203,Cancelled,37
PO-2025196,08-23-2025,Cement,Machinery Parts,Padma Industrial  ,404,"BDT 3,623.44",Pending,11
PO-2025231,01-17-2025,Jute,  logistics ,Jamuna Enterprise  ,420,4728.48,Cancelled,19
PO-2025319,,Textiles,  machinery parts ,Delta Supply Co,23,"3,752.95",Pending,
PO-2025181,2026-01-30,Cement,  office supplies ,Surma Materials Ltd.,437,168.65,Partially Delivered,6
PO-2025265,01/03/2026,Textiles, Raw Material,Delta Supply Co  ,121,"৳3,112",Cancelled,21
PO-2025084,27 Oct 2025,Steel,Machinery Parts,Karnaphuli Logistics ,270,"4,627.27",Delivered,36
PO-2025174,31/10/2025,Steel,PACKAGING,Padma Industrial ,379,"BDT 1,324.24",Pending,34
PO-2025547,07/02/2026,Steel, Logistics,Padma Industrial,382,"4,187.81",Partially Delivered,16
PO-2025218,,Steel,  logistics ,Padma Industrial,263,"3,467.49",Pending,29
PO-2025316,2025-12-26,Jute,Office Supplies,Karnaphuli Logistics,459,"৳1,353",Cancelled,31
PO-2025490,2025-07-31,Jute,  logistics ,Surma Materials Ltd,120,2128.06,Pending,38
PO-2025390,12/05/2025,Textiles,RAW MATERIAL,Jamuna Enterprise,,BDT 220.63,Cancelled,38
PO-2025213,02-02-2025,Cement,  raw material ,Surma Materials Ltd,417,"৳3,423",Pending,35
PO-2025153,21/05/2026,Real Estate, Packaging,Jamuna Enterprise  ,208,"৳1,642",Partially Delivered,26
PO-2025075,,Jute,RAW MATERIAL,Karnaphuli Logistics  ,122,4225.76,Pending,33
PO-2025092,,Real Estate,MACHINERY PARTS,Jamuna Enterprise ,481,"৳2,727",Delivered,34
PO-2025430,05-18-2025,Textiles,PACKAGING,Jamuna Enterprise ,178,114.32,Delivered,14
PO-2025068,24 Sep 2025,Steel,  machinery parts ,Jamuna Enterprise.,21,৳407,Pending,6
PO-2025015,25 Jan 2026,Real Estate,RAW MATERIAL,Surma Materials Ltd  ,153,"BDT 2,917.14",Delivered,15
PO-2025192,29/04/2025,Jute,  machinery parts ,Jamuna Enterprise ,192,"৳4,684",Cancelled,24
PO-2025375,,Jute, Office Supplies,Delta Supply Co,320,"৳3,669",Pending,16
PO-2025088,2025-06-11,Steel,  machinery parts ,Delta Supply Co  ,355,2014.85,Delivered,27
PO-2025518,11/11/2025,Real Estate,OFFICE SUPPLIES,Surma Materials Ltd.,,20909.40,Pending,24
PO-2025117,18/05/2026,Textiles, Packaging,Karnaphuli Logistics,443,"৳2,003",Cancelled,26
PO-2025409,30 Sep 2025,Jute,OFFICE SUPPLIES,Jamuna Enterprise.,135,"3,009.01",Cancelled,41
PO-2025434,10/06/2025,Jute,MACHINERY PARTS,Meghna Traders Ltd.,173,"৳4,019",Cancelled,42
PO-2025033,11 Feb 2026,Real Estate,Office Supplies,Padma Industrial ,301,"BDT 2,092.23",Delivered,24
PO-2025000,18/02/2025,Cement,  raw material ,Surma Materials Ltd ,387,"2,222.45",Delivered,32
PO-2025118,,Jute,Logistics,Jamuna Enterprise ,252,1023.87,Cancelled,22
PO-2025553,06 May 2026,Steel,OFFICE SUPPLIES,Surma Materials Ltd.,63,"BDT 4,287.06",Pending,
PO-2025369,12-19-2025,Cement, Office Supplies,Surma Materials Ltd  ,375,৳548,Pending,41
PO-2025355,,Steel,  packaging ,Surma Materials Ltd  ,197,"৳2,849",Partially Delivered,26
PO-2025453,10/10/2025,Jute, Office Supplies,Jamuna Enterprise  ,220,,Cancelled,39
PO-2025551,,Real Estate,Machinery Parts,Jamuna Enterprise,399,"৳4,441",Cancelled,26
PO-2025022,18 Mar 2025,Textiles,  raw material ,Delta Supply Co ,277,"BDT 1,886.07",Delivered,28
PO-2025472,2025-09-19,Jute,Logistics,Jamuna Enterprise ,242,৳132,Cancelled,4
PO-2025116,07 Mar 2026,Real Estate, Logistics,Delta Supply Co.,-251,"1,061.77",Cancelled,6
PO-2025089,,Real Estate,PACKAGING,Padma Industrial  ,359,4046.79,Delivered,10
PO-2025182,07-23-2025,Real Estate,OFFICE SUPPLIES,Karnaphuli Logistics  ,395,248.47,Partially Delivered,28
PO-2025495,2025-05-12,Jute,  packaging ,Karnaphuli Logistics.,211,"BDT 3,437.31",Partially Delivered,26
PO-2025411,22/02/2025,Real Estate,Machinery Parts,Karnaphuli Logistics ,434,4538.70,Pending,11
PO-2025018,2025-11-16,Real Estate,MACHINERY PARTS,Jamuna Enterprise  ,148,"BDT 4,794.87",Pending,2
PO-2025428,2025-06-17,Textiles,RAW MATERIAL,Karnaphuli Logistics.,461,,Delivered,11
PO-2025535,05-25-2025,Jute,OFFICE SUPPLIES,Delta Supply Co,179,4266.75,Pending,19
PO-2025144,2025-10-22,Steel,  packaging ,Padma Industrial ,352,3179.40,Pending,23
PO-2025302,19/06/2026,Textiles,  raw material ,Meghna Traders Ltd  ,349,4934.22,Cancelled,3
PO-2025565,2025-11-02,Jute, Office Supplies,Jamuna Enterprise ,436,"3,035.86",Partially Delivered,
PO-2025557,18 Jan 2025,Jute,  logistics ,Jamuna Enterprise.,125,146.06,Delivered,14
PO-2025425,01-03-2025,Textiles, Logistics,Jamuna Enterprise,19,"৳4,688",Partially Delivered,23
PO-2025272,2026-02-27,Real Estate, Logistics,Meghna Traders Ltd ,417,৳160,Partially Delivered,42
PO-2025261,22/01/2026,Jute, Office Supplies,Karnaphuli Logistics  ,485,"৳4,534",Pending,42
PO-2025362,04-03-2025,Cement,  machinery parts ,Delta Supply Co,279,"BDT 4,861.37",Partially Delivered,29
PO-2025429,01/03/2025,Jute,Packaging,Karnaphuli Logistics,490,"৳1,791",Cancelled,6
PO-2025167,01-18-2025,Steel,PACKAGING,Padma Industrial,464,544.16,Delivered,43
PO-2025054,01 Mar 2025,Steel,  logistics ,Surma Materials Ltd ,196,"4,402.04",Partially Delivered,44
PO-2025441,16 Sep 2025,Cement,LOGISTICS,Karnaphuli Logistics  ,67,"৳4,715",Partially Delivered,
PO-2025046,11-17-2025,Textiles, Logistics,Meghna Traders Ltd ,223,3985.82,Cancelled,35
PO-2025093,,Steel, Logistics,Meghna Traders Ltd,265,"BDT 3,724.47",Delivered,9
PO-2025304,2025-01-25,Steel, Raw Material,Surma Materials Ltd.,19,"BDT 2,803.14",Partially Delivered,40
PO-2025108,,Steel,Machinery Parts,Delta Supply Co.,-397,"BDT 49,592.80",Partially Delivered,23
PO-2025292,,Textiles, Office Supplies,Delta Supply Co  ,85,"4,100.23",Cancelled,18
PO-2025195,,Steel,RAW MATERIAL,Jamuna Enterprise ,189,"BDT 3,865.33",Partially Delivered,8
PO-2025212,2025-07-06,Textiles,LOGISTICS,Delta Supply Co.,497,"৳1,517",Cancelled,25
PO-2025513,06/01/2026,Real Estate,Raw Material,Meghna Traders Ltd,492,"৳3,985",Pending,3
PO-2025467,,Jute,  raw material ,Surma Materials Ltd,428,"BDT 3,069.62",Partially Delivered,19
PO-2025370,30/01/2025,Textiles,MACHINERY PARTS,Surma Materials Ltd,420,"BDT 4,955.45",Cancelled,27
PO-2025407,2025-07-30,Jute,OFFICE SUPPLIES,Jamuna Enterprise.,375,"BDT 4,878.25",Pending,22
PO-2025007,2026-03-07,Textiles, Machinery Parts,Meghna Traders Ltd  ,393,3341.01,Partially Delivered,12
PO-2025412,03/03/2025,Steel, Office Supplies,Surma Materials Ltd  ,125,"BDT 3,915.55",Pending,30
PO-2025423,01-22-2026,Cement,  machinery parts ,Jamuna Enterprise ,39,"BDT 3,468.70",Delivered,27
PO-2025284,14 Aug 2025,Jute,  machinery parts ,Delta Supply Co.,,"BDT 1,728.09",Partially Delivered,27
PO-2025275,2025-01-11,Real Estate,RAW MATERIAL,Meghna Traders Ltd.,66,৳306,Pending,2
PO-2025581,18 Oct 2025,Textiles,Logistics,Karnaphuli Logistics  ,365,"BDT 4,750.70",Cancelled,44
PO-2025069,,Steel,LOGISTICS,Jamuna Enterprise.,157,"BDT 37,263.30",Pending,12
PO-2025264,29/04/2025,Cement,  logistics ,Surma Materials Ltd.,364,"BDT 4,715.71",Cancelled,21
PO-2025432,09/05/2025,Jute,Raw Material,Delta Supply Co,56,"৳2,616",Pending,12
PO-2025298,2025-02-25,Real Estate,Raw Material,Karnaphuli Logistics,170,"BDT 3,294.52",Partially Delivered,38
PO-2025249,,Real Estate, Packaging,Karnaphuli Logistics  ,263,"3,213.18",Pending,11
PO-2025572,,Textiles,  raw material ,Surma Materials Ltd,-428,1481.06,Pending,3
PO-2025274,2026-06-18,Cement, Packaging,Karnaphuli Logistics  ,95,"BDT 2,289.91",Delivered,2
PO-2025149,06 Jun 2025,Jute,OFFICE SUPPLIES,Padma Industrial.,490,BDT 394.72,Delivered,21
PO-2025124,06 Apr 2026,Steel, Logistics,Padma Industrial ,188,3688.89,Pending,27
PO-2025469,08-20-2025,Jute,  office supplies ,Jamuna Enterprise,405,3422.79,Partially Delivered,21
PO-2025530,2025-05-28,Steel,  raw material ,Meghna Traders Ltd  ,466,BDT 497.28,Delivered,16
PO-2025185,,Real Estate,  packaging ,Delta Supply Co,479,249.98,Cancelled,34
PO-2025333,08-06-2025,Jute,RAW MATERIAL,Meghna Traders Ltd  ,97,4620.35,Partially Delivered,4
PO-2025312,,Jute,  packaging ,Delta Supply Co.,345,"৳4,348",Delivered,24
PO-2025477,09 Jan 2025,Textiles,  packaging ,Padma Industrial,241,"BDT 4,194.15",Cancelled,14
PO-2025310,2026-04-01,Cement,Office Supplies,Surma Materials Ltd.,17,381.54,Pending,7
PO-2025349,13 May 2026,Real Estate,Raw Material,Delta Supply Co.,409,"2,489.55",Pending,25
PO-2025031,15/08/2025,Jute,  office supplies ,Surma Materials Ltd  ,4,"৳3,000",Pending,
PO-2025586,,Jute,MACHINERY PARTS,Meghna Traders Ltd  ,150,2384.43,Pending,11
PO-2025506,,Jute,Logistics,Surma Materials Ltd,262,4642.90,Partially Delivered,31
PO-2025568,,Real Estate,  office supplies ,Meghna Traders Ltd  ,11,"BDT 1,019.07",Partially Delivered,2
PO-2025486,15/11/2025,Steel,Logistics,Meghna Traders Ltd  ,153,"BDT 4,119.53",Cancelled,
PO-2025141,2025-06-03,Jute,OFFICE SUPPLIES,Jamuna Enterprise ,141,"4,556.12",Partially Delivered,31
PO-2025019,2025-08-27,Cement, Packaging,Karnaphuli Logistics,468,"BDT 2,880.05",Pending,14
PO-2025172,31 Jul 2025,Textiles,Logistics,Karnaphuli Logistics.,386,"৳2,283",Cancelled,16
PO-2025483,2025-10-07,Steel, Logistics,Delta Supply Co ,307,4456.78,Partially Delivered,14
PO-2025482,21 May 2026,Cement,  raw material ,Jamuna Enterprise  ,386,758.82,Pending,2
